"ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"9840"	"RPS2"	-1.99640573684211	6.5265840952381	-3.74103129438399	0.000333971065645091	0.00323105371263437	-0.00710023759823653
"14924"	"IGKC"	-1.99028684210526	6.50411582142857	-4.52224719767088	1.99060279074156e-05	0.000542751165030349	2.60594989141551
"25445"	"CDH17"	-1.98735994736842	4.36680041666667	-4.99171233883125	3.194449103213e-06	0.000193171385915663	4.31771884470536
"26148"	"TUBB4B"	-1.98154926315789	6.47226958333333	-4.05226044150716	0.000112660395763382	0.00158863694016221	0.995058494056994
"4311"	"SCARNA9"	-1.971015	2.86852489285714	-5.47998757859189	4.35880380737148e-07	5.69713249208325e-05	6.1899879425908
"21223"	"HLA-DRA"	-1.96880957894737	3.72376528571429	-3.55168697033946	0.000630302350162098	0.00498140526035105	-0.589158266229409
"8337"	"IGHA1"	-1.96106268421053	7.1527475952381	-5.61112860015357	2.5187202477019e-07	4.03368895932788e-05	6.7066604895138
"28059"	"MIR4467"	1.95835152631579	4.21516348809524	6.46498863276082	6.32192952331235e-09	3.54356307338433e-06	10.1858123370527
"19953"	"NSA2"	-1.95260331578947	5.88308975	-4.24272244238774	5.65265341371473e-05	0.00101891087847584	1.63443861343157
"17892"	"MIR570"	-1.95132031578947	8.59404603571429	-4.83852220820548	5.86110476391085e-06	0.000274037833390241	3.74885928992307
"8973"	"PPIP5K1"	-1.93115273684211	5.88365353571429	-4.59998485866202	1.47974616703041e-05	0.000454480100426085	2.88274142623546
"9593"	"MT1X"	-1.9284287368421	7.00961478571429	-3.69853337103997	0.000385820031219772	0.00356321180290326	-0.13962027644491
"24274"	"FGL2"	-1.92273905263158	4.32296833333333	-6.60333193789417	3.4259938194365e-09	2.39771230809038e-06	10.7650518218948
"5199"	"NXPE4"	-1.89676957894737	3.27835939285714	-5.87631882911338	8.18087236769746e-08	1.95449087623998e-05	7.76719137037768
"401"	"SNORD46"	-1.88836384210526	5.23652692857143	-4.12412421877598	8.70324603671813e-05	0.00132536438597435	1.23406463191981
"23607"	"LOC100133091"	-1.87495905263158	6.09823744047619	-4.65635876757156	1.19143705529426e-05	0.000397331989138008	3.08518300227444
"24299"	"SRI"	-1.87402731578947	3.67183961904762	-5.37111986868842	6.84398279281562e-07	7.75176789670552e-05	5.76527932632302
"18333"	"MUC13"	-1.87397652631579	3.90144260714286	-4.86089582995713	5.36701612729251e-06	0.000256446588626549	3.83134510304316
"16373"	"KMT2C"	-1.87171147368421	5.35328701190476	-5.56067837734179	3.11231201702658e-07	4.55852052061677e-05	6.50725724292589
"20774"	"CXCL14"	-1.85946863157895	4.71623830952381	-5.04688985137524	2.5614993987063e-06	0.00017120795880487	4.5249074952706
"13995"	"IGKC"	-1.85691421052631	5.7457734047619	-4.27553772282765	5.01032157474337e-05	0.000949091176709001	1.74649581256285
"11090"	"SNORD3D"	-1.85400252631579	7.82633686904762	-2.86960055111904	0.00519693721378149	0.0213015228477133	-2.49396317782778
"4247"	"MIR548AL"	-1.84022142105263	4.39344975	-3.54644263708116	0.000641301830778218	0.00503285526701474	-0.604968420114469
"11977"	"SNORD58C"	-1.8357817368421	4.94995671428571	-3.11634470015051	0.00250574880533517	0.0128041831046816	-1.84136239439094
